"AB Ref No.","ASN Ref No","Document No.","Material No.",Qty,BBD,"Fulfillment Status","Created By","Last Change"
000001,000001,9800510842,9010000004,640,2023-11-13,Done,"Christian B. Salvacion","2023-06-27 06:40:48"
000002,000001,9800510845,9010000016,640,2023-12-16,Done,"Christian B. Salvacion","2023-06-27 06:40:55"
000003,000001,9800510848,9010000016,320,2023-11-15,Done,"Christian B. Salvacion","2023-06-27 06:41:28"
000004,000002,9800510848,9010000016,320,2023-12-16,Done,"Christian B. Salvacion","2023-06-27 06:41:35"
000005,000001,9800510850,9010000049,640,2023-11-18,Done,"Christian B. Salvacion","2023-06-27 06:41:53"
000006,000001,9800510844,9010000016,640,2023-12-16,Done,"Christian B. Salvacion","2023-06-27 06:41:40"
000007,000001,9800510847,9010000016,640,2023-12-16,Done,"Christian B. Salvacion","2023-06-27 06:41:47"
000008,000001,9800510849,9010000049,640,2023-11-18,Done,"Christian B. Salvacion","2023-06-27 06:41:59"
000009,000001,9800510855,9010000049,640,2023-11-18,Done,"Christian B. Salvacion","2023-06-27 06:42:05"
000010,000006,9800511129,9020000236,60,2023-12-19,Done,"Christian B. Salvacion","2023-06-27 06:42:19"
000011,000006,9800511129,9020000236,60,2023-12-22,Done,"Christian B. Salvacion","2023-06-27 06:42:25"
000012,000006,9800511129,9020000236,60,2023-12-23,Done,"Christian B. Salvacion","2023-06-27 06:42:34"
000013,000006,9800511129,9020000236,60,2023-12-21,Done,"Christian B. Salvacion","2023-06-27 06:42:44"
000015,000003,9800510895,9020000236,660,2023-12-22,Done,"Christian B. Salvacion","2023-06-27 06:42:55"
000016,000004,9800510895,9020000236,480,2023-12-23,Done,"Christian B. Salvacion","2023-06-27 06:42:59"
000017,000005,9800510895,9020000236,60,2023-12-21,Done,"Christian B. Salvacion","2023-06-27 06:43:05"
000018,000006,9800511129,9020000236,960,2023-12-24,Done,"Christian B. Salvacion","2023-06-27 06:43:10"
000019,000001,9800510858,9010000074,640,2023-12-19,Done,"Christian B. Salvacion","2023-06-27 06:42:10"
000020,000001,9800510812,9010000004,1085,2023-11-13,Done,"Christian B. Salvacion","2023-06-27 06:35:51"
000021,000001,9800510681,9020000036,1280,2024-03-08,Done,"Christian B. Salvacion","2023-06-27 10:36:50"
000022,000001,9800510700,9010000004,1087,2023-11-13,Done,"Christian B. Salvacion","2023-06-27 09:52:56"
000023,000003,9800511050,9020000236,1140,2023-12-21,Done,"Christian B. Salvacion","2023-06-27 09:09:01"
000024,000004,9800511050,9020000236,60,2023-12-19,Done,"Christian B. Salvacion","2023-06-27 09:09:19"
000025,000001,9800510865,9010000059,850,2023-12-14,Done,"Christian B. Salvacion","2023-06-27 09:09:27"
000026,000001,9800510866,9010000059,450,2023-12-15,Done,"Christian B. Salvacion","2023-06-27 09:51:06"
000027,000007,9800510866,9010000059,400,2023-12-14,Done,"Christian B. Salvacion","2023-06-27 09:51:01"
